Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
06/12/2018,"445 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",Dublin,,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
01/11/2018,"67 RAHOONANE, TRALEE, KERRY",Kerry,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2785751,-9.6962823
05/12/2018,"APT 5, BELFIELD COURT, BALBRIGGAN",Dublin,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/01/2018,"THE WEE FIELD, DUNFANAGHY, CO DONEGAL",Donegal,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.18333,-7.96667
26/03/2018,"25 KENNEDY PARK, WEXFORD",Wexford,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3297075,-6.4729185
27/09/2018,"2 CHAPEL CLOSE, NEWCASTLE WEST, LIMERICK",Limerick,,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4458326,-9.0579648
22/03/2018,"21 PALACE CRESCENT, ARDNACASSA, LONGFORD",Longford,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.72536,-7.79823
23/11/2018,"MAIN ST, DUNMANWAY, CO CORK",Cork,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7222391,-9.1119113
08/03/2018,"58 CLONMINCH WOOD, TULLAMORE, OFFALY",Offaly,,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2607294,-7.4800435
01/05/2018,"123 THOMAS MOORE RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3219078,-6.3279572
31/10/2018,"28 ALEXANDRA WALK, CLANE, KILDARE",Kildare,,"€141,896.95",Yes,No,Second-Hand Dwelling house /Apartment,,53.2901669,-6.6776389
30/05/2018,"10 BRUACH NA MARA, CARNA, GALWAY",Galway,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3252551,-9.8372829
10/08/2018,"KEELCLOGHERANE, FAHA, KILLARNEY",Kerry,,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.05,-9.51667
