Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
08/06/2022,"27 HAMPTON CRESCENT, BLACKROCK, DUBLIN",Dublin,A94N223,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3034574,-6.2022224
07/10/2022,"38 CLUAIN DARA COURT, CLONMACKEN, ENNIS RD",Limerick,V94FW44,"€222,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
30/06/2022,"15 The Dales, Barnhall Meadows, Leixlip",Kildare,,"€418,502.00",No,Yes,New Dwelling house /Apartment,,53.3598844,-6.5165103
28/02/2022,"APT 24, WEAVERS COURT, CLONDALKIN DUBLIN 22",Dublin,D22YE84,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
01/02/2022,"20 ROCKCOURT, BALLINAGH, CAVAN",Cavan,H12R960,"€108,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.93333,-7.41667
20/01/2022,"35 HADDON RD, CLONTARF, DUBLIN 3",Dublin,D03VA03,"€1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3615226,-6.2112857
18/11/2022,"3 GRACEFIELD, FETHARD RD, CLONMEL",Tipperary,E91E9P5,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
01/03/2022,"THE DEMESNE, FRENCHPARK, COUNTY ROSCOMMON",Roscommon,F45D292,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.86667,-8.4
24/06/2022,"15 CATHERINA COTTAGES, STRAND RD, TRALEE",Kerry,V92YKD4,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
30/09/2022,"BRACKYLE, PALLASGREEN, LIMERICK",Limerick,V94WY6D,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.5679,-8.33794
26/05/2022,"93 CHERRYVALE, BAY ESTATE, DUNDALK",Louth,A91Y0Y3,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9945995,-6.3765306
15/02/2022,"39 CLYBAUN COURT, KNOCKNACARRA, GALWAY",Galway,H91R7DC,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2666682,-9.1038835
18/07/2022,"APT 6 BLOCK 11, PRIORY HALL, HOLE IN THE WALL ROAD",Dublin,,"€255,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/05/2022,"ST JOSEPHS, RECTORY RD, ENNISCORTHY",Wexford,Y21K6N9,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
08/04/2022,"APARTMENT 22 RED ARCHES AVENUE, BALDOYLE, DUBLIN 13",Dublin,D13TYC9,"€318,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4014846,-6.1390128
14/06/2022,"CHURCHFIELD, MAIN STREET, KNOCK",Mayo,F12P288,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.79391,-8.91961
22/06/2022,"77 LELTES ARCH OLD QUARTER, BALLINCOLLIG, CORK",Cork,P31RY17,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.88333,-8.58333
06/05/2022,"APT 8 BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,D01EN80,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/04/2022,"12 ALYSONS GREEN, LISMULLEN GROVE, ARMAGH RD",Louth,A91KN9T,"€148,017.62",No,Yes,New Dwelling house /Apartment,,53.94861,-6.54139
14/06/2022,"602 MOUNT KENNETT, DOCK RD, LIMERICK",Limerick,,"€116,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
10/01/2022,"20 BIRCHWOOD DR, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin,D24N4V9,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2911981,-6.3826736
08/09/2022,"BALLYGUSHEN, BALLYROAN, PORTLAOISE",Laois,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
21/12/2022,"21 Long Meadows, Old  Sion Road, Kilkenny",Kilkenny,,"€638,767.00",No,Yes,New Dwelling house /Apartment,,52.65417,-7.25222
09/11/2022,"12 The Green, Raven's Mill, Rolestown",Dublin,,"€374,449.00",No,Yes,New Dwelling house /Apartment,,53.491497,-6.2946893
09/12/2022,"HAZEL HOUSE, GRANGE RD, CREGMORE   CLAREGALWAY",Galway,H91DX3R,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33861,-8.945
17/10/2022,"6 Castleview, Williamstown Road, Waterford",Waterford,,"€568,282.00",No,Yes,New Dwelling house /Apartment,,52.25833,-7.11194
21/10/2022,"46 GLENSHESK RD, WHITEHALL, DUBLIN 9",Dublin,D09E090,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3826658,-6.2396847
12/08/2022,"56 ROSSMOR, CASTLEBAR, MAYO",Mayo,F23FF62,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8668095,-9.2996374
13/09/2022,"210 ASHLEY RISE, PORTMARNOCK, DUBLIN",Dublin,D13K033,"€635,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4364871,-6.1291634
12/04/2022,"77 CORD RD, DROGHEDA, LOUTH",Louth,A92XE8V,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7168405,-6.3439614
02/09/2022,"11 CASTLE ST, TRIM, MEATH",Meath,C15A294,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5531843,-6.7888142
26/07/2022,"37 MOYLARAGH AVE, BALBRIGGAN, DUBLIN",Dublin,K32YW26,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6115605,-6.1984906
27/10/2022,"TATTYBOY, CARRICKMACROSS, MONAGHAN",Monaghan,A81K520,"€84,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0219921,-6.6175512
17/05/2022,"53 TYNAN HALL AVE, TALLAGHT, DUBLIN 24",Dublin,D24R1X9,"€426,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3077939,-6.3724461
20/07/2022,"48 GREENVILLE TCE, SOUTH CIRCULAR ROAD, DUBLIN 8",Dublin,D08R2T9,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
03/06/2022,"6 Brennanstown Wood, Brennanstown Road, Dublin 18",Dublin,D18EP0Y,"€859,030.83",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
25/11/2022,"32 BAYVIEW DR, KILLINEY, DUBLIN",Dublin,A96WD54,"€567,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.2457719,-6.1187616
06/10/2022,"36 LIBERTY COURT, LOWER CLANBRASSIL ST, DUBLIN 8",Dublin,D08FK61,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
01/04/2022,"12 BIRCHWOOD CLOSE, ONSLOW GARDENS, COMMONS RD",Cork,T23Y7D6,"€307,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
05/01/2022,"35 DROMHALL PARK, KILLARNEY, KERRY",Kerry,V93A7NE,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.0522022,-9.4987198
24/08/2022,"GOLARD, NPPR ID 411353, DONEGAL",Donegal,F94C9E4,"€30,947.00",No,No,Second-Hand Dwelling house /Apartment,,54.65,-8.11667
03/10/2022,"GLEBE SOUTH, KILCULLEN, KILDARE",Kildare,R56XH60,"€170,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.1007719,-6.7604921
11/08/2022,"1 Churchview, Nutgrove, Rathfarnham",Dublin,,"€681,058.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
21/12/2022,"APT46 DISTILLERY COURT, STATION RD, BALLINCOLLIG",Cork,P31VH95,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.88333,-8.58333
14/10/2022,"TOBER LOWER, DUNLAVIN, CO WICKLOW",Wicklow,W91T0A6,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.05556,-6.70389
14/04/2022,"AUGHRISMORE, CLEGGAN, CO GALWAY",Galway,H71VP26,"€184,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.55,-10.11667
03/05/2022,"2 CASHEL RD, CRUMLIN, DUBLIN 12",Dublin,D12F5W6,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3223556,-6.3066788
22/08/2022,"39 HEATHER VIEW, TONAPHOBBLE, SLIGO",Sligo,F91F1W8,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
05/12/2022,"CAPPAGH, BAREFIELD ENNIS, CO CLARE",Clare,V95P6H0,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
19/08/2022,"APT 20 JOHNS GATE, CASTLECOMER RD, KILKENNY CITY",Kilkenny,R95RH73,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
18/08/2022,"75 ALEN HALL, BELGARD SQ, TALLAGHT DUBLIN 24",Dublin,D24DK13,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
09/12/2022,"10 MANGERTON RD, DRIMNAGH, DUBLIN 12",Dublin,D12YY96,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
02/02/2022,"29 OPERA LANE, CORK, CORK",Cork,T12N9R2,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.899045,-8.4725671
29/07/2022,"405 THE EDGES 2, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",Dublin,D18VP89,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/01/2022,"15 Clonrath Row, Lusk",Dublin,,"€398,000.00",No,Yes,New Dwelling house /Apartment,,53.5322588,-6.1625727
15/12/2022,"27 IVY WOOD, KILBEGGAN, WESTMEATH",Westmeath,N91T9X3,"€207,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.36944,-7.50333
27/06/2022,"47 COPPERHILL, BROOMFIELD VILLAGE, MIDLETON",Cork,P25EY71,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
27/05/2022,"15 BOYNE MEADOWS, DUBLIN RD, EDENDERRY",Offaly,R45YX67,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.34528,-7.04972
02/12/2022,"54 SOUTHERN GARDENS, KILKENNY RD, CARLOW",Carlow,R93Y8C1,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
22/12/2022,"10 CLOON NA MARA, BALLYBRIT, GALWAY",Galway,H91Y096,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.29694,-8.99361
28/02/2022,"APT 3 STRAND VIEW, HOWTH ROAD, DUBLIN 5",Dublin,D05A3K2,"€584,886.48",Yes,No,Second-Hand Dwelling house /Apartment,,53.3837001,-6.1461461
22/06/2022,"11 EMERSON AVE, SALTHILL, GALWAY",Galway,H91T2XD,"€655,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2631308,-9.075752
13/10/2022,"8 ARD AN BHAILE, BUTTEVANT, COUNTY CORK",Cork,P51H6C4,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2312943,-8.6775044
25/08/2022,"CARRIGAVISTEAL, BALLYPOREEN, CO TIPPERARY",Tipperary,E21P688,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2831829,-8.099858
