Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
04/07/2018,"28 HOPHILL VALE, TULLAMORE, OFFALY",Offaly,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27389,-7.48889
28/08/2018,"3 ALT CRESCENT, ALT UPPER, CASTLEFIN",Donegal,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.91667,-8.0
01/02/2018,"105 OCALLAGHAN SQ, MALLOW, CORK",Cork,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
31/07/2018,"10 COLBERT ST, LISTOWEL, KERRY",Kerry,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4475339,-9.4836726
04/12/2018,"APARTMENT 11, CLONTARF HALL, CLONTARF PLACE",Limerick,,"€99,687.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
22/10/2018,"APT 4A SECOND FLOOR, RIVERSIDE, BOYLE",Roscommon,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.96667,-8.3
08/06/2018,"159 PALMERSTOWN WOODS, CLONDALKIN, DUBLIN 22",Dublin,,"€39,877.50",No,No,Second-Hand Dwelling house /Apartment,,53.336929,-6.3907166
01/08/2018,"LET THE HARE SIT, BALLYMERRIGAN, GLENEALY",Wicklow,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.96222,-6.14583
14/06/2018,"32 EISCIR END ROAD, EISCIR MEADOWS, TULLAMORE",Offaly,,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2939324,-7.5033366
27/09/2018,"120 THE WAXWORKS, ASHTOWN SQ, RATHBOURNE VILLAGE DUBLIN 15",Dublin,,"€346,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
08/02/2018,"APARTMENT 1, 73A BLESSINGTON STREET, DUBLIN 7",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3561687,-6.2662032
12/01/2018,"40 The Way, The Paddocks, Hansfield",Dublin,,"€259,911.90",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.33306,-6.24889
16/08/2018,"7 LORRO GATE, ATHENRY, GALWAY",Galway,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2956337,-8.7539975
19/10/2018,"2 STRAW HALL, FARRAN STREET GERALD GRIFFIN ST, CORK",Cork,,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
27/04/2018,"42 GLEANN ARD, BALLAGHADEREEN, ROSCOMMON",Roscommon,,"€41,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
06/07/2018,"FUERTY, ROSCOMMON, COUNTY ROSCOMMON",Roscommon,,"€122,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.6140206,-8.2579579
23/10/2018,"166 CUSTOM HOUSE HABOUR, IFSC, DUBLIN 1",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/02/2018,"7 ASSUMPTION TERRACE, STATION RD, BLARNEY",Cork,,"€318,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.93333,-8.56667
17/04/2018,"120 Alder House, Silverbanks, The Coast",Dublin,,"€176,211.45",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
03/12/2018,"THE PLOUGH, QUAY RD, TERRYGLASS",Tipperary,,"€198,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
14/03/2018,"5 CURLEW CLOSE, BALLINAFAD, BOYLE",Sligo,,"€96,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
17/04/2018,"44 ASHGROVE, COOKSTOWN, TALLAGHT DUBLIN 24",Dublin,,"€282,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/11/2018,"1 BROSNA, FRIARS MILL RD, WESTMEATH",Westmeath,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5,-7.5
09/04/2018,"TRISTA, BANGOR ERRIS, BALLINA",Mayo,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.11667,-9.16667
20/12/2018,"62 SEANABOTHAIR, KILEENS, CORK",Cork,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
17/10/2018,"58 St Helens Avenue, Adamstown, Lucan",Dublin,,"€310,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
11/12/2018,"6124 BENBULBEN SUITES, CLARION ROAD, CO SLIGO",Sligo,,"€50,855.66",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
27/11/2018,"GOODWOOD, CLAREMONT RD, SUTTON DUBLIN 13",Dublin,,"€915,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/05/2018,"BARRA, 53 BLENHEIM HEIGHTS, WATERFORD",Waterford,,"€387,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.1749279,-7.1537224
21/11/2018,"49 Rathmill Green, Rathcoole, County Dublin",Dublin,,"€328,634.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.2766427,-6.4845966
08/01/2018,"WOODVILLE, BELINSTOWN, BALLYBOUGHAL",Dublin,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/12/2018,"No. 21 Bounds Court, Airport Road",Waterford,,"€158,615.00",Yes,Yes,New Dwelling house /Apartment,,52.25833,-7.11194
