Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
10/07/2024,"4 THE BELFRY, INCHICORE ROAD, KILMAINHAM",Dublin,D08AT1W,"€536,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
02/07/2024,"13 ROWANS ROAD, WEDGEWOOD, SANDYFORD",Dublin,D16H343,"€625,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/06/2024,"1 HOLLYWOOD PARK, GOATSTOWN RD, DUBLIN 14",Dublin,D14AK22,"€1,163,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/11/2024,"6 The Park, Kilmartin Grove, Hollystown",Dublin,,"€409,665.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
27/05/2024,"34 LOUGHMINANE GREEN, KILDARE, KILDARE",Kildare,R51H560,"€342,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
09/02/2024,"APT 17, CEDAR HALL MILLBROOK, MILLTOWN DUBLIN 6",Dublin,D06C956,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
02/08/2024,"86 MERRION RD, BALLSBRIDGE, DUBLIN 4",Dublin,D04K8Y8,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.326009,-6.2233543
21/11/2024,"40 SHANTALLA DR, BEAUMONT, DUBLIN 9",Dublin,D09X688,"€565,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/12/2024,"41 DERRYMORE, TULLA RD, ENNIS",Clare,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
17/06/2024,"185 Glenamuck Manor, Glenamuck Road, Carrickmines",Dublin,,"€678,414.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
18/10/2024,"239 Forgelands, Old Forge Road, Enniscorthy",Wexford,,"€277,533.04",No,Yes,New Dwelling house /Apartment,,52.50083,-6.55778
26/02/2024,"10 CRESTFIELD MEWS, GLANMIRE, CORK",Cork,T45CK15,"€305,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,51.91583,-8.39972
23/02/2024,"164 CASHEL RD, CRUMLIN, DUBLIN 12",Dublin,D12Y8W8,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.321068,-6.3060904
03/12/2024,"3 CHURCH VIEW, DROMAHANE, MALLOW",Cork,P51DW3K,"€100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
18/12/2024,"DONANORE, ENNISCORTHY, CO WEXFORD",Wexford,,"€287,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
30/09/2024,"15 ARDMORE DRIVE, ARTANE, DUBLIN 5",Dublin,D05XE63,"€528,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3893442,-6.2207037
07/02/2024,"255 WOODFIELD, RATHFARNHAM, DUBLIN 16",Dublin,D16RC99,"€685,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/08/2024,"10 CLUAIN UILINN, SPANISH POINT ROAD, MILTOWN MALBAY",Clare,V95VR68,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.85528,-9.39833
14/05/2024,"110 THE SWEEPSTAKES, BALLSBRIDGE PARK, BALLSBRIDGE DUBLIN 4",Dublin,D04X2C6,"€1,035,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/04/2024,"56 ARD ESKER, TUAM RD, ATHENRY",Galway,H65D564,"€341,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.29639,-8.74306
19/02/2024,"31 WOODBROOK COURT, RIVERWOOD RD, CASTLEKNOCK DUBLIN 15",Dublin,D15NH66,"€327,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/01/2024,"11 ORPEN GREEN, STILLORGAN GROVE, BLACKROCK",Dublin,A94R2T4,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2893377,-6.1893188
25/10/2024,"151 KIRWIN AVE, TRIM, MEATH",Meath,C15X2P5,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5582732,-6.7954266
01/02/2024,"ARDNAGREEVAGH, RENVYLE, GALWAY",Galway,H91EPW4,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5948,-9.97739
27/09/2024,"11 CHAPEL MEWS, CHAPEL LANE, SALLINS",Kildare,W91NX20,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.24889,-6.66611
30/10/2024,"APARTMENT 54, MOUNTFIELD PARK, MALAHIDE",Dublin,K36EP98,"€387,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/08/2024,"BALLAGHGAR, CARRIG, BIRR",Tipperary,,"€276,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
