Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
04/04/2024,"175 ROCHFORT MANOR, LEIGHLIN RD, GRAIGUECULLEN",Carlow,R93Y2N1,"€288,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
03/12/2024,"CORNAHAW, BLACKLION, COUNTY CAVAN",Cavan,F91Y9C6,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.29168,-7.87539
26/08/2024,"MOORETOWN, OLDTOWN, DUBLIN",Dublin,A45FK40,"€452,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.464475,-6.2556334
01/08/2024,"15 BELGRAVE VIEW, RATHMINES, DUBLIN 6",Dublin,D06P9N2,"€720,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3217141,-6.2589488
13/12/2024,"9 The Park, Carberry Meadows, Balmoston",Dublin,,"€471,365.64",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
16/08/2024,"35 Avonvale manor, Ballynerrin Upper, Wicklow Town",Wicklow,,"€515,419.00",No,Yes,New Dwelling house /Apartment,,53.0,-6.41667
30/07/2024,"29 ASHGROVE PARK, NAAS, CO KILDARE",Kildare,W91PD2P,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2254125,-6.6556444
10/06/2024,"2 WOODBROOK VALE, WOODBROOK, SHANKILL",Dublin,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
07/02/2024,"68 RIVERSDALE, UPPER DARGLE RD, BRAY",Wicklow,A98KD91,"€324,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.20278,-6.09833
15/05/2024,"24 STEPHENS COURT, NEW ROSS, WEXFORD",Wexford,Y34PY61,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.39667,-6.93667
31/10/2024,"17 CREMORE CRESCENT, DUBLIN 11, DUBLIN",Dublin,D11K6P2,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3787008,-6.2780573
27/09/2024,"AYLESFORD, 210 ROCHESTOWN AVENUE, DUN LAOGHAIRE",Dublin,A96HX61,"€930,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/12/2024,"13 The Glen, Kilmartin Grove, Hollystown",Dublin,,"€414,096.91",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
21/05/2024,"CLOONEEN, STROKESTOWN, CO ROSCOMMON",Roscommon,F42HE48,"€35,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.7912504,-8.0578111
01/07/2024,"44 CARRICKHILL RISE, PORTMARNOCK, DUBLIN",Dublin,D13YF44,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4338254,-6.1311174
01/11/2024,"43 CULRUA BROWN ST, PORTLAW, WATERFORD",Waterford,X91D2T8,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.28833,-7.32056
02/07/2024,"2 DARLEY LANE, BELMONT, AIKEN'S VILLAGE",Dublin,D18PX53,"€645,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/08/2024,"58 ST HELENS VILLAGE, KILRANE, ROSSLARE HARBOUR",Wexford,Y35HF61,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25,-6.35
13/09/2024,"173 Millquarter, Gorey, Co. Wexford",Wexford,,"€259,911.00",No,Yes,New Dwelling house /Apartment,,52.6673766,-6.2876904
02/10/2024,"63 RUSHEEN ARD, SLIGO, SLIGO",Sligo,F91KW2P,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.2581398,-8.4740143
24/10/2024,"18 EATON SQUARE, TERENURE, DUBLIN 6W",Dublin,D6WXT73,"€1,390,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3125264,-6.2868252
28/11/2024,"6 SHELBOURNE PARK MEWS, RINGSEND RD, DUBLIN 4",Dublin,D04AK19,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/05/2024,"87 CRUACHAN, KNOCKATEEMORE, DUNGARVAN",Waterford,X35V308,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.08806,-7.62528
08/03/2024,"115 RATHEDMOND EST, SLIGO",Sligo,F91KF44,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.2735847,-8.490775
03/04/2024,"37 CHURCH ST, ATHLONE, CO WESTMEATH",Westmeath,N37E3P2,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4236497,-7.9389626
15/11/2024,"APT 1, MCNEILL HALL, GEORGES HILL",Dublin,K32W651,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6112291,-6.1820841
01/11/2024,"3 Bracken Demesne, Roundwood",Wicklow,,"€440,528.63",No,Yes,New Dwelling house /Apartment,,53.0669865,-6.2225305
12/12/2024,"4 Tonaphubble Woods, Sligo",Sligo,,"€312,775.33",No,Yes,New Dwelling house /Apartment,,54.26969,-8.46943
17/09/2024,"Number 1 Claren Court, Killarney Road, Bray",Wicklow,A98V6Y1,"€744,216.18",No,Yes,New Dwelling house /Apartment,,53.20278,-6.09833
23/05/2024,"7 HILLCREST MANOR, TEMPLEOGUE RD, TEMPLEOGUE DUBLIN 6W",Dublin,D6WK240,"€337,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/12/2024,"25 MILLBROOK MANOR CANAL RD, PORTARLINGTON, LAOIS",Laois,R32KX66,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.16222,-7.19111
09/07/2024,"60 REILEAN, ROSCAM, GALWAY",Galway,H91AW8W,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2743393,-8.9755195
09/12/2024,"72 ACHA BHILE, LAHINCH ROAD, ENNIS",Clare,V95Y2TK,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84361,-8.98639
